accuracy,precision,recall,specificity,f1,hard_negative_fpr,fp,fn,median_delay_s,p95_delay_s,seed
0.9615384615384616,0.9523809523809523,1.0,0.8333333333333334,0.975609756097561,0.0,1,0,40.1,92.50000000000003,0
0.9615384615384616,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,0,1,40.0,240.0,4
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,40.3,7
0.92,0.9047619047619048,1.0,0.6666666666666666,0.9500000000000001,0.3333333333333333,2,0,40.0,42.58999999999995,20
0.9642857142857143,0.9565217391304348,1.0,0.8333333333333334,0.9777777777777777,0.3333333333333333,1,0,40.0,64.04499999999999,33
0.8461538461538461,0.8333333333333334,1.0,0.3333333333333333,0.9090909090909091,0.3333333333333333,4,0,40.0,150.60500000000008,55
0.8888888888888888,0.9090909090909091,0.9523809523809523,0.6666666666666666,0.9302325581395349,0.3333333333333333,2,1,40.0,65.0,69
0.88,0.9,0.9473684210526315,0.6666666666666666,0.9230769230769231,0.0,2,1,52.6,68.74999999999997,72
0.9230769230769231,0.9090909090909091,1.0,0.6666666666666666,0.9523809523809523,0.3333333333333333,2,0,40.0,40.1,73
0.9259259259259259,0.9166666666666666,1.0,0.6,0.9565217391304348,0.0,2,0,40.0,87.49999999999997,88
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,240.0,91
0.8888888888888888,0.875,1.0,0.5,0.9333333333333333,0.6666666666666666,3,0,40.0,40.1,97
0.9629629629629629,0.9565217391304348,1.0,0.8,0.9777777777777777,0.0,1,0,40.0,40.0,102
0.8846153846153846,0.9047619047619048,0.95,0.6666666666666666,0.9268292682926829,0.0,2,1,40.0,40.1,110
0.8461538461538461,0.9,0.9,0.6666666666666666,0.9,0.0,2,2,40.0,97.49999999999993,113
0.9285714285714286,0.9166666666666666,1.0,0.6666666666666666,0.9565217391304348,0.0,2,0,40.0,45.605,114
0.88,0.9,0.9473684210526315,0.6666666666666666,0.9230769230769231,0.0,2,1,40.0,40.96999999999999,119
0.88,0.8695652173913043,1.0,0.4,0.9302325581395349,0.0,3,0,40.0,97.50000000000011,130
0.9615384615384616,0.9523809523809523,1.0,0.8333333333333334,0.975609756097561,0.0,1,0,40.0,40.39000000000001,131
0.92,0.95,0.95,0.8,0.9500000000000001,0.0,1,1,40.0,104.99999999999969,145
0.88,0.9,0.9473684210526315,0.6666666666666666,0.9230769230769231,0.0,2,1,40.0,40.1,160
0.8928571428571429,1.0,0.8636363636363636,1.0,0.9268292682926829,0.0,0,3,40.0,240.0,170
0.9166666666666666,0.9,1.0,0.6666666666666666,0.9473684210526316,0.0,2,0,40.0,40.13,188
0.8888888888888888,0.875,1.0,0.5,0.9333333333333333,0.3333333333333333,3,0,40.0,40.1,208
0.9230769230769231,0.9090909090909091,1.0,0.6666666666666666,0.9523809523809523,0.6666666666666666,2,0,40.0,40.39000000000001,240
0.92,0.9473684210526315,0.9473684210526315,0.8333333333333334,0.9473684210526315,0.0,1,1,40.0,97.49999999999993,244
0.92,0.9090909090909091,1.0,0.6,0.9523809523809523,0.0,2,0,40.0,40.39000000000001,261
0.9230769230769231,0.95,0.95,0.8333333333333334,0.9500000000000001,0.0,1,1,40.0,80.30999999999926,269
0.9230769230769231,0.9090909090909091,1.0,0.6666666666666666,0.9523809523809523,0.3333333333333333,2,0,40.0,152.50000000000017,275
0.9642857142857143,0.9565217391304348,1.0,0.8333333333333334,0.9777777777777777,0.0,1,0,40.0,87.79499999999997,289
