accuracy,precision,recall,f1,specificity,false_alarm_rate,miss_rate,hard_negative_fpr,mean_delay_s,median_delay_s,p95_delay_s,n_files,tp,tn,fp,fn,model,threshold,consecutive,gate_threshold
0.07142857142857142,1.0,0.07142857142857142,0.13333333333333333,,,0.9285714285714286,0.0,548.0,548.0,548.0,14,1,0,0,13,SourceOnly_RF,0.994375,1,0.012022120929115903
0.6428571428571429,1.0,0.6428571428571429,0.782608695652174,,,0.35714285714285715,0.0,212.41111111111113,55.556,772.5999999999999,14,9,0,0,5,TargetOnly_RF,0.8475464705882353,3,0.0
0.5714285714285714,1.0,0.5714285714285714,0.7272727272727273,,,0.42857142857142855,0.0,91.025,55.844,260.8545999999999,14,8,0,0,6,NaivePool_RF,0.8974846405228759,3,0.0
1.0,1.0,1.0,1.0,,,0.0,0.0,36.53107142857142,40.347,68.93499999999997,14,14,0,0,0,CORAL_RF,0.6873073529411765,1,0.012022120929115903
1.0,1.0,1.0,1.0,,,0.0,0.0,32.45964285714285,40.347,46.435,14,14,0,0,0,HRC_TAGS_ET,0.8964295704751891,3,0.0
1.0,1.0,1.0,1.0,,,0.0,0.0,32.24535714285714,40.347,46.435,14,14,0,0,0,HRC_TAGS_MIL,0.75,3,0.0
1.0,1.0,1.0,1.0,,,0.0,0.0,56.31678571428572,60.9235,83.7614,14,14,0,0,0,HRC_TAGS_PROTO,0.8142687869849798,3,0.0
1.0,1.0,1.0,1.0,,,0.0,0.0,68.67392857142858,40.5955,240.556,14,14,0,0,0,HRC_no_CORAL,0.9278997474791121,2,0.0
1.0,1.0,1.0,1.0,,,0.0,0.0,51.38821428571429,40.5955,125.556,14,14,0,0,0,HRC_no_HN,0.9269174117493901,2,0.0
0.5714285714285714,1.0,0.5714285714285714,0.7272727272727273,,,0.42857142857142855,0.0,93.240375,92.347,96.5204,14,8,0,0,6,CausalPrefixHGB_100_150,100s:0.8;150s:0.8,1,0.0
