accuracy,precision,recall,f1,specificity,false_alarm_rate,miss_rate,mean_delay_s,median_delay_s,p95_delay_s,tp,tn,fp,fn,model,thresholds,hard_negative_fpr,mild_recall,seed,split
1.0,1.0,1.0,1.0,1.0,0.0,0.0,103.91666666666667,90.1,140.0,18,6,0,0,PrefixConfirmET_100_150,100s:0.65;150s:0.394105,0.0,1.0,0,val
0.9615384615384616,1.0,0.95,0.9743589743589743,1.0,0.0,0.05,103.45263157894738,90.0,140.58999999999997,19,6,0,1,PrefixConfirmET_100_150,100s:0.65;150s:0.394105,0.0,0.95,0,test
0.9166666666666666,1.0,0.8888888888888888,0.9411764705882353,1.0,0.0,0.1111111111111111,60.34375,65.0,83.75,16,6,0,2,EarlyCascadeET_50_75_100_150_250_400,50s:0.999532;75s:0.55;100s:0.65;150s:0.65;250s:0.62163;400s:0.622756,0.0,0.8888888888888888,0,val
0.9230769230769231,1.0,0.9,0.9473684210526315,1.0,0.0,0.1,70.86666666666667,65.0,112.49999999999979,18,6,0,2,EarlyCascadeET_50_75_100_150_250_400,50s:0.999532;75s:0.55;100s:0.65;150s:0.65;250s:0.62163;400s:0.622756,0.0,0.9,0,test
0.7916666666666666,1.0,0.7222222222222222,0.8387096774193549,1.0,0.0,0.2777777777777778,98.13846153846154,90.0,142.35999999999999,13,6,0,5,PrefixConfirmET_100_150,100s:0.703722;150s:0.65,0.0,0.7222222222222222,4,val
0.8846153846153846,0.95,0.9047619047619048,0.926829268292683,0.8,0.2,0.09523809523809523,95.56842105263159,90.0,140.0,19,4,1,2,PrefixConfirmET_100_150,100s:0.703722;150s:0.65,0.5,0.9047619047619048,4,test
0.9166666666666666,1.0,0.8888888888888888,0.9411764705882353,1.0,0.0,0.1111111111111111,80.9875,40.0,277.5,16,6,0,2,EarlyCascadeET_50_75_100_150_250_400,50s:0.787141;75s:0.88;100s:0.88;150s:0.65;250s:0.65;400s:0.624035,0.0,0.8888888888888888,4,val
1.0,1.0,1.0,1.0,1.0,0.0,0.0,64.08571428571429,40.0,140.0,21,5,0,0,EarlyCascadeET_50_75_100_150_250_400,50s:0.787141;75s:0.88;100s:0.88;150s:0.65;250s:0.65;400s:0.624035,0.0,1.0,4,test
1.0,1.0,1.0,1.0,1.0,0.0,0.0,106.66666666666667,90.05,140.0,18,6,0,0,PrefixConfirmET_100_150,100s:0.65;150s:0.418678,0.0,1.0,7,val
0.8888888888888888,0.95,0.9047619047619048,0.926829268292683,0.8333333333333334,0.16666666666666666,0.09523809523809523,106.13157894736842,90.0,140.58999999999997,19,5,1,2,PrefixConfirmET_100_150,100s:0.65;150s:0.418678,0.0,0.9047619047619048,7,test
0.9166666666666666,1.0,0.8888888888888888,0.9411764705882353,1.0,0.0,0.1111111111111111,66.5625,64.95,127.5,16,6,0,2,EarlyCascadeET_50_75_100_150_250_400,50s:1;75s:0.717194;100s:0.635339;150s:0.586289;250s:0.65;400s:0.62175,0.0,0.8888888888888888,7,val
0.8518518518518519,0.9473684210526315,0.8571428571428571,0.9,0.8333333333333334,0.16666666666666666,0.14285714285714285,73.69444444444444,65.0,134.99999999999957,18,5,1,3,EarlyCascadeET_50_75_100_150_250_400,50s:1;75s:0.717194;100s:0.635339;150s:0.586289;250s:0.65;400s:0.62175,0.0,0.8571428571428571,7,test
0.9565217391304348,0.9444444444444444,1.0,0.9714285714285714,0.8333333333333334,0.16666666666666666,0.0,92.95294117647059,90.0,100.07999999999996,17,5,1,0,PrefixConfirmET_100_150,100s:0.286899;150s:0.329731,0.3333333333333333,1.0,20,val
0.92,0.9047619047619048,1.0,0.95,0.6666666666666666,0.3333333333333333,0.0,90.01052631578946,90.0,90.1,19,4,2,0,PrefixConfirmET_100_150,100s:0.286899;150s:0.329731,0.3333333333333333,1.0,20,test
0.9130434782608695,1.0,0.8823529411764706,0.9375,1.0,0.0,0.11764705882352941,86.68,40.0,390.0,15,6,0,2,EarlyCascadeET_50_75_100_150_250_400,50s:0.713942;75s:0.88;100s:0.88;150s:0.65;250s:0.88;400s:0.558277,0.0,0.8823529411764706,20,val
1.0,1.0,1.0,1.0,1.0,0.0,0.0,63.694736842105264,40.0,164.99999999999946,19,6,0,0,EarlyCascadeET_50_75_100_150_250_400,50s:0.713942;75s:0.88;100s:0.88;150s:0.65;250s:0.88;400s:0.558277,0.0,1.0,20,test
1.0,1.0,1.0,1.0,1.0,0.0,0.0,101.78823529411765,90.0,140.0,17,6,0,0,PrefixConfirmET_100_150,100s:0.65;150s:0.43684,0.0,1.0,33,val
