accuracy,precision,recall,f1,specificity,false_alarm_rate,miss_rate,mean_delay_s,median_delay_s,p95_delay_s,tp,tn,fp,fn,model,thresholds,hard_negative_fpr,mild_recall,seed,split
1.0,1.0,1.0,1.0,1.0,0.0,0.0,103.91666666666667,90.1,140.0,18,6,0,0,PrefixConfirmET_100_150,100s:0.65;150s:0.355747,0.0,1.0,0,val
0.9615384615384616,1.0,0.95,0.9743589743589743,1.0,0.0,0.05,108.71578947368421,90.0,140.58999999999997,19,6,0,1,PrefixConfirmET_100_150,100s:0.65;150s:0.355747,0.0,0.95,0,test
0.9583333333333334,0.9473684210526315,1.0,0.972972972972973,0.8333333333333334,0.16666666666666666,0.0,40.02777777777778,40.0,40.13,18,5,1,0,EarlyCascadeET_50_75_100_150_250_400,50s:0.55;75s:0.55;100s:0.65;150s:0.65;250s:0.65;400s:0.65,0.3333333333333333,1.0,0,val
1.0,1.0,1.0,1.0,1.0,0.0,0.0,50.28,40.0,55.60500000000013,20,6,0,0,EarlyCascadeET_50_75_100_150_250_400,50s:0.55;75s:0.55;100s:0.65;150s:0.65;250s:0.65;400s:0.65,0.0,1.0,0,test
0.7916666666666666,1.0,0.7222222222222222,0.8387096774193549,1.0,0.0,0.2777777777777778,97.68461538461537,90.0,140.0,13,6,0,5,PrefixConfirmET_100_150,100s:0.757602;150s:0.65,0.0,0.7222222222222222,4,val
0.9230769230769231,1.0,0.9047619047619048,0.95,1.0,0.0,0.09523809523809523,103.46315789473685,90.0,140.58999999999997,19,5,0,2,PrefixConfirmET_100_150,100s:0.757602;150s:0.65,0.0,0.9047619047619048,4,test
0.9583333333333334,1.0,0.9444444444444444,0.9714285714285714,1.0,0.0,0.05555555555555555,74.16470588235295,40.0,189.99999999999983,17,6,0,1,EarlyCascadeET_50_75_100_150_250_400,50s:0.812797;75s:0.678776;100s:0.88;150s:0.639635;250s:0.65;400s:0.605974,0.0,0.9444444444444444,4,val
0.9615384615384616,0.9545454545454546,1.0,0.9767441860465116,0.8,0.2,0.0,64.08571428571429,40.0,140.0,21,4,1,0,EarlyCascadeET_50_75_100_150_250_400,50s:0.812797;75s:0.678776;100s:0.88;150s:0.639635;250s:0.65;400s:0.605974,0.5,1.0,4,test
1.0,1.0,1.0,1.0,1.0,0.0,0.0,90.0,90.0,90.1,18,6,0,0,PrefixConfirmET_100_150,100s:0.522032;150s:0.399249,0.0,1.0,7,val
0.9259259259259259,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.8333333333333334,0.16666666666666666,0.047619047619047616,92.825,90.0,98.10500000000003,20,5,1,1,PrefixConfirmET_100_150,100s:0.522032;150s:0.399249,0.0,0.9523809523809523,7,test
1.0,1.0,1.0,1.0,1.0,0.0,0.0,88.61111111111111,65.0,262.4999999999998,18,6,0,0,EarlyCascadeET_50_75_100_150_250_400,50s:0.997111;75s:0.768502;100s:0.619922;150s:0.565903;250s:0.643898;400s:0.575832,0.0,1.0,7,val
0.9259259259259259,1.0,0.9047619047619048,0.95,1.0,0.0,0.09523809523809523,69.28947368421052,65.0,140.58999999999997,19,6,0,2,EarlyCascadeET_50_75_100_150_250_400,50s:0.997111;75s:0.768502;100s:0.619922;150s:0.565903;250s:0.643898;400s:0.575832,0.0,0.9047619047619048,7,test
0.9565217391304348,0.9444444444444444,1.0,0.9714285714285714,0.8333333333333334,0.16666666666666666,0.0,92.95294117647059,90.0,100.07999999999996,17,5,1,0,PrefixConfirmET_100_150,100s:0.306595;150s:0.354919,0.3333333333333333,1.0,20,val
0.92,0.9047619047619048,1.0,0.95,0.6666666666666666,0.3333333333333333,0.0,90.01052631578946,90.0,90.1,19,4,2,0,PrefixConfirmET_100_150,100s:0.306595;150s:0.354919,0.3333333333333333,1.0,20,test
1.0,1.0,1.0,1.0,1.0,0.0,0.0,51.7764705882353,40.0,140.0,17,6,0,0,EarlyCascadeET_50_75_100_150_250_400,50s:0.55;75s:0.88;100s:0.88;150s:0.571029;250s:0.88;400s:0.56708,0.0,1.0,20,val
0.96,0.95,1.0,0.9743589743589743,0.8333333333333334,0.16666666666666666,0.0,45.27368421052632,40.0,50.08999999999979,19,5,1,0,EarlyCascadeET_50_75_100_150_250_400,50s:0.55;75s:0.88;100s:0.88;150s:0.571029;250s:0.88;400s:0.56708,0.3333333333333333,1.0,20,test
1.0,1.0,1.0,1.0,1.0,0.0,0.0,104.72941176470589,90.0,140.0,17,6,0,0,PrefixConfirmET_100_150,100s:0.65;150s:0.491096,0.0,1.0,33,val
0.8214285714285714,1.0,0.7727272727272727,0.8717948717948718,1.0,0.0,0.22727272727272727,105.02352941176471,90.0,141.18,17,6,0,5,PrefixConfirmET_100_150,100s:0.65;150s:0.491096,0.0,0.7727272727272727,33,test
1.0,1.0,1.0,1.0,1.0,0.0,0.0,45.90588235294118,40.0,60.239999999999924,17,6,0,0,EarlyCascadeET_50_75_100_150_250_400,50s:0.55;75s:0.76209;100s:0.631207;150s:0.65;250s:0.65;400s:0.65,0.0,1.0,33,val
0.8928571428571429,0.9523809523809523,0.9090909090909091,0.9302325581395349,0.8333333333333334,0.16666666666666666,0.09090909090909091,57.77,40.0,63.105000000000246,20,5,1,2,EarlyCascadeET_50_75_100_150_250_400,50s:0.55;75s:0.76209;100s:0.631207;150s:0.65;250s:0.65;400s:0.65,0.3333333333333333,0.9090909090909091,33,test
1.0,1.0,1.0,1.0,1.0,0.0,0.0,110.57058823529412,90.0,140.0,17,6,0,0,PrefixConfirmET_100_150,100s:0.647134;150s:0.491243,0.0,1.0,55,val
0.9230769230769231,1.0,0.9,0.9473684210526315,1.0,0.0,0.1,98.64444444444445,90.0,140.885,18,6,0,2,PrefixConfirmET_100_150,100s:0.647134;150s:0.491243,0.0,0.9,55,test
1.0,1.0,1.0,1.0,1.0,0.0,0.0,72.33529411764707,40.0,149.99999999999977,17,6,0,0,EarlyCascadeET_50_75_100_150_250_400,50s:0.88;75s:0.635566;100s:0.57432;150s:0.603309;250s:0.635175;400s:0.643047,0.0,1.0,55,val
1.0,1.0,1.0,1.0,1.0,0.0,0.0,69.03,40.0,152.50000000000017,20,6,0,0,EarlyCascadeET_50_75_100_150_250_400,50s:0.88;75s:0.635566;100s:0.57432;150s:0.603309;250s:0.635175;400s:0.643047,0.0,1.0,55,test
0.9230769230769231,1.0,0.9047619047619048,0.95,1.0,0.0,0.09523809523809523,90.32105263157894,90.0,90.67999999999998,19,5,0,2,PrefixConfirmET_100_150,100s:0.513497;150s:0.448273,0.0,0.9047619047619048,69,val
0.9259259259259259,1.0,0.9047619047619048,0.95,1.0,0.0,0.09523809523809523,92.63684210526316,90.0,95.08999999999989,19,6,0,2,PrefixConfirmET_100_150,100s:0.513497;150s:0.448273,0.0,0.9047619047619048,69,test
