accuracy,precision,recall,f1,specificity,false_alarm_rate,miss_rate,mean_delay_s,median_delay_s,p95_delay_s,tp,tn,fp,fn,model,thresholds,hard_negative_fpr,mild_recall,seed,split
1.0,1.0,1.0,1.0,1.0,0.0,0.0,98.36111111111111,90.0,140.0,18,6,0,0,PrefixConfirmHGB_100_150,100s:0.65;150s:0.305144,0.0,1.0,0,val
0.9230769230769231,0.95,0.95,0.95,0.8333333333333334,0.16666666666666666,0.05,92.92631578947369,90.0,100.30999999999992,19,5,1,1,PrefixConfirmHGB_100_150,100s:0.65;150s:0.305144,0.0,0.95,0,test
1.0,1.0,1.0,1.0,1.0,0.0,0.0,83.08333333333333,65.0,240.0,18,6,0,0,EarlyCascadeHGB_50_75_100_150_250_400,50s:0.994415;75s:0.88;100s:0.65;150s:0.65;250s:0.65;400s:0.65,0.0,1.0,0,val
0.9615384615384616,0.9523809523809523,1.0,0.975609756097561,0.8333333333333334,0.16666666666666666,0.0,76.53,65.0,97.50000000000011,20,5,1,0,EarlyCascadeHGB_50_75_100_150_250_400,50s:0.994415;75s:0.88;100s:0.65;150s:0.65;250s:0.65;400s:0.65,0.0,1.0,0,test
0.875,0.9411764705882353,0.8888888888888888,0.9142857142857143,0.8333333333333334,0.16666666666666666,0.1111111111111111,90.3625,90.0,91.55,16,5,1,2,PrefixConfirmHGB_100_150,100s:0.78;150s:0.958335,0.0,0.8888888888888888,4,val
0.9615384615384616,0.9545454545454546,1.0,0.9767441860465116,0.8,0.2,0.0,90.27619047619048,90.0,90.3,21,4,1,0,PrefixConfirmHGB_100_150,100s:0.78;150s:0.958335,0.0,1.0,4,test
1.0,1.0,1.0,1.0,1.0,0.0,0.0,76.43333333333334,40.0,240.0,18,6,0,0,EarlyCascadeHGB_50_75_100_150_250_400,50s:0.935111;75s:0.967298;100s:0.99287;150s:0.992652;250s:0.88;400s:0.992516,0.0,1.0,4,val
1.0,1.0,1.0,1.0,1.0,0.0,0.0,70.03809523809524,40.0,240.0,21,5,0,0,EarlyCascadeHGB_50_75_100_150_250_400,50s:0.935111;75s:0.967298;100s:0.99287;150s:0.992652;250s:0.88;400s:0.992516,0.0,1.0,4,test
1.0,1.0,1.0,1.0,1.0,0.0,0.0,101.11111111111111,90.0,140.0,18,6,0,0,PrefixConfirmHGB_100_150,100s:0.88;150s:0.635783,0.0,1.0,7,val
0.9259259259259259,1.0,0.9047619047619048,0.95,1.0,0.0,0.09523809523809523,103.5,90.0,140.58999999999997,19,6,0,2,PrefixConfirmHGB_100_150,100s:0.88;150s:0.635783,0.0,0.9047619047619048,7,test
0.9583333333333334,0.9473684210526315,1.0,0.972972972972973,0.8333333333333334,0.16666666666666666,0.0,65.0,40.05,140.0,18,5,1,0,EarlyCascadeHGB_50_75_100_150_250_400,50s:0.957982;75s:0.996174;100s:0.88;150s:0.65;250s:0.65;400s:0.88,0.3333333333333333,1.0,7,val
0.9629629629629629,0.9545454545454546,1.0,0.9767441860465116,0.8333333333333334,0.16666666666666666,0.0,61.73809523809524,40.0,140.0,21,5,1,0,EarlyCascadeHGB_50_75_100_150_250_400,50s:0.957982;75s:0.996174;100s:0.88;150s:0.65;250s:0.65;400s:0.88,0.0,1.0,7,test
0.8695652173913043,0.9375,0.8823529411764706,0.9090909090909091,0.8333333333333334,0.16666666666666666,0.11764705882352941,96.68,90.0,140.0,15,5,1,2,PrefixConfirmHGB_100_150,100s:0.65;150s:0.65,0.3333333333333333,0.8823529411764706,20,val
0.92,0.9047619047619048,1.0,0.95,0.6666666666666666,0.3333333333333333,0.0,92.64210526315789,90.0,95.08999999999989,19,4,2,0,PrefixConfirmHGB_100_150,100s:0.65;150s:0.65,0.3333333333333333,1.0,20,test
1.0,1.0,1.0,1.0,1.0,0.0,0.0,53.247058823529414,40.0,99.99999999999987,17,6,0,0,EarlyCascadeHGB_50_75_100_150_250_400,50s:0.55;75s:0.88;100s:0.989993;150s:0.9907;250s:0.88;400s:0.88,0.0,1.0,20,val
0.92,0.9047619047619048,1.0,0.95,0.6666666666666666,0.3333333333333333,0.0,40.01052631578948,40.0,40.1,19,4,2,0,EarlyCascadeHGB_50_75_100_150_250_400,50s:0.55;75s:0.88;100s:0.989993;150s:0.9907;250s:0.88;400s:0.88,0.3333333333333333,1.0,20,test
0.9130434782608695,1.0,0.8823529411764706,0.9375,1.0,0.0,0.11764705882352941,90.02666666666667,90.0,90.16,15,6,0,2,PrefixConfirmHGB_100_150,100s:0.78;150s:0.88,0.0,0.8823529411764706,33,val
0.8214285714285714,0.9047619047619048,0.8636363636363636,0.8837209302325582,0.6666666666666666,0.3333333333333333,0.13636363636363635,92.91578947368421,90.0,100.30999999999992,19,4,2,3,PrefixConfirmHGB_100_150,100s:0.78;150s:0.88,0.6666666666666666,0.8636363636363636,33,test
1.0,1.0,1.0,1.0,1.0,0.0,0.0,40.023529411764706,40.0,40.14,17,6,0,0,EarlyCascadeHGB_50_75_100_150_250_400,50s:0.55;75s:0.88;100s:0.88;150s:0.88;250s:0.65;400s:0.65,0.0,1.0,33,val
0.8928571428571429,0.9130434782608695,0.9545454545454546,0.9333333333333333,0.6666666666666666,0.3333333333333333,0.045454545454545456,40.25714285714286,40.0,40.1,21,4,2,1,EarlyCascadeHGB_50_75_100_150_250_400,50s:0.55;75s:0.88;100s:0.88;150s:0.88;250s:0.65;400s:0.65,0.6666666666666666,0.9545454545454546,33,test
1.0,1.0,1.0,1.0,1.0,0.0,0.0,101.74705882352941,90.0,140.0,17,6,0,0,PrefixConfirmHGB_100_150,100s:0.88;150s:0.522916,0.0,1.0,55,val
0.9230769230769231,0.9090909090909091,1.0,0.9523809523809523,0.6666666666666666,0.3333333333333333,0.0,92.78,90.0,98.10500000000003,20,4,2,0,PrefixConfirmHGB_100_150,100s:0.88;150s:0.522916,0.3333333333333333,1.0,55,test
0.9565217391304348,0.9444444444444444,1.0,0.9714285714285714,0.8333333333333334,0.16666666666666666,0.0,39.98235294117647,40.0,40.02,17,5,1,0,EarlyCascadeHGB_50_75_100_150_250_400,50s:0.55;75s:0.88;100s:0.65;150s:0.65;250s:0.65;400s:0.88,0.3333333333333333,1.0,55,val
0.9230769230769231,0.9090909090909091,1.0,0.9523809523809523,0.6666666666666666,0.3333333333333333,0.0,40.28,40.0,40.39000000000001,20,4,2,0,EarlyCascadeHGB_50_75_100_150_250_400,50s:0.55;75s:0.88;100s:0.65;150s:0.65;250s:0.65;400s:0.88,0.3333333333333333,1.0,55,test
1.0,1.0,1.0,1.0,1.0,0.0,0.0,95.05238095238094,90.0,140.0,21,5,0,0,PrefixConfirmHGB_100_150,100s:0.614763;150s:0.523201,0.0,1.0,69,val
0.9629629629629629,1.0,0.9523809523809523,0.975609756097561,1.0,0.0,0.047619047619047616,92.505,90.0,92.59500000000003,20,6,0,1,PrefixConfirmHGB_100_150,100s:0.614763;150s:0.523201,0.0,0.9523809523809523,69,test
1.0,1.0,1.0,1.0,1.0,0.0,0.0,42.67142857142857,40.0,45.9,21,5,0,0,EarlyCascadeHGB_50_75_100_150_250_400,50s:0.55;75s:0.88;100s:0.65;150s:0.65;250s:0.65;400s:0.65,0.0,1.0,69,val
0.8888888888888888,0.875,1.0,0.9333333333333333,0.5,0.5,0.0,45.957142857142856,40.0,90.0,21,3,3,0,EarlyCascadeHGB_50_75_100_150_250_400,50s:0.55;75s:0.88;100s:0.65;150s:0.65;250s:0.65;400s:0.65,0.6666666666666666,1.0,69,test
0.9583333333333334,0.9473684210526315,1.0,0.972972972972973,0.8333333333333334,0.16666666666666666,0.0,92.78888888888889,90.0,97.58499999999992,18,5,1,0,PrefixConfirmHGB_100_150,100s:0.78;150s:0.65,0.0,1.0,72,val
0.88,0.9,0.9473684210526315,0.9230769230769231,0.6666666666666666,0.3333333333333333,0.05263157894736842,98.32222222222222,90.0,140.0,18,4,2,1,PrefixConfirmHGB_100_150,100s:0.78;150s:0.65,0.0,0.9473684210526315,72,test
1.0,1.0,1.0,1.0,1.0,0.0,0.0,84.45555555555556,40.0,240.0,18,6,0,0,EarlyCascadeHGB_50_75_100_150_250_400,50s:0.976801;75s:0.997544;100s:0.992864;150s:0.973974;250s:0.88;400s:0.948771,0.0,1.0,72,val
0.92,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.8333333333333334,0.16666666666666666,0.05263157894736842,117.76666666666668,40.150000000000006,240.0,18,5,1,1,EarlyCascadeHGB_50_75_100_150_250_400,50s:0.976801;75s:0.997544;100s:0.992864;150s:0.973974;250s:0.88;400s:0.948771,0.0,0.9473684210526315,72,test
0.9565217391304348,1.0,0.9444444444444444,0.9714285714285714,1.0,0.0,0.05555555555555555,110.9235294117647,90.1,141.18,17,5,0,1,PrefixConfirmHGB_100_150,100s:0.976045;150s:0.65,0.0,0.9444444444444444,73,val
0.8846153846153846,0.9047619047619048,0.95,0.926829268292683,0.6666666666666666,0.3333333333333333,0.05,108.42105263157895,90.1,140.0,19,4,2,1,PrefixConfirmHGB_100_150,100s:0.976045;150s:0.65,0.3333333333333333,0.95,73,test
1.0,1.0,1.0,1.0,1.0,0.0,0.0,59.76111111111111,40.0,160.01499999999987,18,5,0,0,EarlyCascadeHGB_50_75_100_150_250_400,50s:0.88;75s:0.995189;100s:0.949051;150s:0.65;250s:0.65;400s:0.96967,0.0,1.0,73,val
0.9230769230769231,0.9090909090909091,1.0,0.9523809523809523,0.6666666666666666,0.3333333333333333,0.0,52.5,40.0,140.0,20,4,2,0,EarlyCascadeHGB_50_75_100_150_250_400,50s:0.88;75s:0.995189;100s:0.949051;150s:0.65;250s:0.65;400s:0.96967,0.3333333333333333,1.0,73,test
0.8695652173913043,0.8888888888888888,0.9411764705882353,0.9142857142857143,0.6666666666666666,0.3333333333333333,0.058823529411764705,108.75,90.05,140.0,16,4,2,1,PrefixConfirmHGB_100_150,100s:0.986675;150s:0.65,0.3333333333333333,0.9411764705882353,88,val
0.8888888888888888,0.88,1.0,0.9361702127659575,0.4,0.6,0.0,117.2590909090909,140.0,140.0,22,2,3,0,PrefixConfirmHGB_100_150,100s:0.986675;150s:0.65,0.5,1.0,88,test
1.0,1.0,1.0,1.0,1.0,0.0,0.0,51.76470588235294,40.0,80.15999999999985,17,6,0,0,EarlyCascadeHGB_50_75_100_150_250_400,50s:0.88;75s:0.997378;100s:0.996334;150s:0.969435;250s:0.88;400s:0.995568,0.0,1.0,88,val
0.9629629629629629,0.9565217391304348,1.0,0.9777777777777777,0.8,0.2,0.0,80.89545454545454,40.0,240.0,22,4,1,0,EarlyCascadeHGB_50_75_100_150_250_400,50s:0.88;75s:0.997378;100s:0.996334;150s:0.969435;250s:0.88;400s:0.995568,0.0,1.0,88,test
0.92,0.9047619047619048,1.0,0.95,0.6666666666666666,0.3333333333333333,0.0,95.58947368421052,90.0,140.0,19,4,2,0,PrefixConfirmHGB_100_150,100s:0.65;150s:0.65,0.0,1.0,91,val
1.0,1.0,1.0,1.0,1.0,0.0,0.0,89.96842105263158,90.0,90.1,19,5,0,0,PrefixConfirmHGB_100_150,100s:0.65;150s:0.65,0.0,1.0,91,test
0.92,1.0,0.8947368421052632,0.9444444444444444,1.0,0.0,0.10526315789473684,75.65882352941175,40.0,240.0,17,6,0,2,EarlyCascadeHGB_50_75_100_150_250_400,50s:0.88;75s:0.994272;100s:0.990347;150s:0.993885;250s:0.937018;400s:0.995524,0.0,0.8947368421052632,91,val
0.9583333333333334,1.0,0.9473684210526315,0.972972972972973,1.0,0.0,0.05263157894736842,84.41111111111111,40.0,240.0,18,5,0,1,EarlyCascadeHGB_50_75_100_150_250_400,50s:0.88;75s:0.994272;100s:0.990347;150s:0.993885;250s:0.937018;400s:0.995524,0.0,0.9473684210526315,91,test
0.96,1.0,0.9473684210526315,0.972972972972973,1.0,0.0,0.05263157894736842,95.57777777777778,90.0,140.0,18,6,0,1,PrefixConfirmHGB_100_150,100s:0.65;150s:0.65,0.0,0.9473684210526315,97,val
0.8888888888888888,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.6666666666666666,0.3333333333333333,0.047619047619047616,97.78999999999999,90.0,140.0,20,4,2,1,PrefixConfirmHGB_100_150,100s:0.65;150s:0.65,0.3333333333333333,0.9523809523809523,97,test
1.0,1.0,1.0,1.0,1.0,0.0,0.0,40.02105263157895,40.0,40.11,19,6,0,0,EarlyCascadeHGB_50_75_100_150_250_400,50s:0.55;75s:0.55;100s:0.65;150s:0.65;250s:0.65;400s:0.65,0.0,1.0,97,val
0.8518518518518519,0.84,1.0,0.9130434782608695,0.3333333333333333,0.6666666666666666,0.0,40.27619047619048,40.0,40.1,21,2,4,0,EarlyCascadeHGB_50_75_100_150_250_400,50s:0.55;75s:0.55;100s:0.65;150s:0.65;250s:0.65;400s:0.65,0.6666666666666666,1.0,97,test
0.8846153846153846,1.0,0.85,0.918918918918919,1.0,0.0,0.15,104.70588235294117,90.0,140.0,17,6,0,3,PrefixConfirmHGB_100_150,100s:0.939862;150s:0.88,0.0,0.85,102,val
0.8518518518518519,0.95,0.8636363636363636,0.9047619047619048,0.8,0.2,0.13636363636363635,111.03684210526315,90.0,140.0,19,4,1,3,PrefixConfirmHGB_100_150,100s:0.939862;150s:0.88,0.0,0.8636363636363636,102,test
0.9615384615384616,1.0,0.95,0.9743589743589743,1.0,0.0,0.05,50.526315789473685,40.0,140.0,19,6,0,1,EarlyCascadeHGB_50_75_100_150_250_400,50s:0.88;75s:0.88;100s:0.993985;150s:0.88;250s:0.996859;400s:0.88,0.0,0.95,102,val
0.9629629629629629,0.9565217391304348,1.0,0.9777777777777777,0.8,0.2,0.0,51.35,40.0,136.24999999999994,22,4,1,0,EarlyCascadeHGB_50_75_100_150_250_400,50s:0.88;75s:0.88;100s:0.993985;150s:0.88;250s:0.996859;400s:0.88,0.0,1.0,102,test
0.9565217391304348,1.0,0.9411764705882353,0.9696969696969697,1.0,0.0,0.058823529411764705,93.15,90.0,102.725,16,6,0,1,PrefixConfirmHGB_100_150,100s:0.65;150s:0.65,0.0,0.9411764705882353,110,val
0.8846153846153846,0.9473684210526315,0.9,0.9230769230769231,0.8333333333333334,0.16666666666666666,0.1,90.0,90.0,90.1,18,5,1,2,PrefixConfirmHGB_100_150,100s:0.65;150s:0.65,0.0,0.9,110,test
0.9565217391304348,0.9444444444444444,1.0,0.9714285714285714,0.8333333333333334,0.16666666666666666,0.0,40.023529411764706,40.0,40.14,17,5,1,0,EarlyCascadeHGB_50_75_100_150_250_400,50s:0.55;75s:0.55;100s:0.65;150s:0.65;250s:0.65;400s:0.65,0.3333333333333333,1.0,110,val
0.9230769230769231,0.95,0.95,0.95,0.8333333333333334,0.16666666666666666,0.05,41.31578947368421,40.0,42.58999999999995,19,5,1,1,EarlyCascadeHGB_50_75_100_150_250_400,50s:0.55;75s:0.55;100s:0.65;150s:0.65;250s:0.65;400s:0.65,0.0,0.95,110,test
