seed,w_hgb,w_et,w_global_et,threshold_50s,threshold_75s,threshold_100s,threshold_150s,threshold_250s,threshold_400s
0,0.0,0.0,1.0,0.96,0.55,0.55,0.55,0.55,0.55
4,0.0,0.0,1.0,0.65,0.75,0.75,0.65,0.65,0.55
7,0.0,0.25,0.75,0.92,0.75,0.55,0.55,0.55,0.55
20,0.0,0.75,0.25,0.55,0.75,0.75,0.55,0.75,0.55
33,0.0,0.0,1.0,0.55,0.55,0.55,0.55,0.55,0.55
55,0.0,0.25,0.75,0.85,0.65,0.65,0.55,0.55,0.65
69,0.25,0.0,0.75,0.55,0.55,0.55,0.55,0.55,0.55
72,0.0,0.0,1.0,0.92,0.65,0.65,0.55,0.55,0.55
73,0.0,0.0,1.0,0.55,0.55,0.65,0.55,0.55,0.55
88,0.0,0.75,0.25,0.65,0.75,0.85,0.75,0.75,0.75
91,0.0,0.25,0.75,0.75,0.65,0.55,0.55,0.55,0.65
97,0.0,0.0,1.0,0.55,0.55,0.55,0.55,0.55,0.55
102,0.0,0.0,1.0,0.55,0.55,0.65,0.55,0.85,0.75
110,0.0,0.0,1.0,0.92,0.65,0.65,0.55,0.55,0.55
113,0.0,0.0,1.0,0.65,0.85,0.75,0.55,0.75,0.75
114,0.0,1.0,0.0,0.75,0.75,0.55,0.55,0.55,0.55
119,0.0,0.0,1.0,0.65,0.65,0.65,0.65,0.65,0.55
130,0.0,0.25,0.75,0.65,0.65,0.65,0.65,0.55,0.55
131,0.0,0.0,1.0,0.55,0.75,0.75,0.65,0.55,0.55
145,0.0,0.0,1.0,0.55,0.65,0.65,0.55,0.55,0.55
160,0.0,0.0,1.0,0.65,0.65,0.55,0.65,0.55,0.75
170,0.0,0.0,1.0,0.65,0.65,0.65,0.55,0.55,0.65
188,0.25,0.0,0.75,0.92,0.65,0.65,0.55,0.55,0.55
208,0.0,0.25,0.75,0.92,0.65,0.65,0.55,0.55,0.55
240,0.0,0.0,1.0,0.55,0.75,0.65,0.65,0.55,0.55
244,0.0,1.0,0.0,0.55,0.65,0.85,0.75,0.55,0.65
261,0.25,0.0,0.75,0.92,0.65,0.55,0.55,0.55,0.55
269,0.0,0.0,1.0,0.55,0.75,0.85,0.92,0.65,0.65
275,0.25,0.0,0.75,0.55,0.55,0.55,0.55,0.55,0.55
289,0.25,0.0,0.75,0.92,0.65,0.75,0.55,0.55,0.55
