accuracy,precision,recall,f1,specificity,hard_negative_fpr,fp,fn,median_delay_s,p95_delay_s,seed
1.0,1.0,1.0,1.0,1.0,0.0,0,0,52.55,240.0,0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4
0.9629629629629629,1.0,0.9523809523809523,0.975609756097561,1.0,0.0,0,1,40.25,240.0,7
0.96,0.95,1.0,0.9743589743589743,0.8333333333333334,0.3333333333333333,1,0,40.0,50.08999999999979,20
0.9285714285714286,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.8333333333333334,0.3333333333333333,1,1,40.0,65.0,33
0.9615384615384616,1.0,0.95,0.9743589743589743,1.0,0.0,0,1,40.0,140.58999999999997,55
0.8888888888888888,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.6666666666666666,0.3333333333333333,2,1,40.0,65.0,69
0.88,0.9,0.9473684210526315,0.9230769230769231,0.6666666666666666,0.0,2,1,40.150000000000006,154.99999999999986,72
0.9230769230769231,0.9090909090909091,1.0,0.9523809523809523,0.6666666666666666,0.3333333333333333,2,0,40.0,41.34500000000002,73
0.9259259259259259,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.8,0.5,1,1,40.0,40.0,88
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,91
0.9259259259259259,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.8333333333333334,0.3333333333333333,1,1,40.0,40.39000000000001,97
0.9629629629629629,0.9565217391304348,1.0,0.9777777777777777,0.8,0.0,1,0,40.0,40.095,102
0.8846153846153846,1.0,0.85,0.9189189189189189,1.0,0.0,0,3,40.1,99.99999999999997,110
0.8461538461538461,0.9,0.9,0.9,0.6666666666666666,0.0,2,2,40.0,140.0,113
0.9642857142857143,1.0,0.9545454545454546,0.9767441860465117,1.0,0.0,0,1,40.0,90.0,114
0.88,0.9,0.9473684210526315,0.9230769230769231,0.6666666666666666,0.0,2,1,40.0,112.49999999999979,119
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,240.0,130
0.9615384615384616,1.0,0.95,0.9743589743589743,1.0,0.0,0,1,40.0,80.30999999999926,131
0.92,0.9090909090909091,1.0,0.9523809523809523,0.6,0.0,2,0,40.0,145.00000000000006,145
0.96,1.0,0.9473684210526315,0.972972972972973,1.0,0.0,0,1,40.0,47.58499999999993,160
0.9285714285714286,1.0,0.9090909090909091,0.9523809523809523,1.0,0.0,0,2,40.0,50.09500000000014,170
0.9166666666666666,0.9,1.0,0.9473684210526316,0.6666666666666666,0.0,2,0,40.0,91.24999999999974,188
0.9629629629629629,0.9545454545454546,1.0,0.9767441860465117,0.8333333333333334,0.0,1,0,65.0,140.0,208
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,40.39000000000001,240
0.96,0.95,1.0,0.9743589743589743,0.8333333333333334,0.0,1,0,40.0,50.08999999999979,244
0.92,1.0,0.9,0.9473684210526316,1.0,0.0,0,2,52.55,154.99999999999986,261
0.9615384615384616,1.0,0.95,0.9743589743589743,1.0,0.0,0,1,40.0,65.30999999999958,269
0.9230769230769231,0.9090909090909091,1.0,0.9523809523809523,0.6666666666666666,0.3333333333333333,2,0,40.0,152.50000000000017,275
0.9642857142857143,0.9565217391304348,1.0,0.9777777777777777,0.8333333333333334,0.0,1,0,65.0,137.49999999999997,289
