sample_id,file_name,binary,hard_negative,duplicate_group,test_appearances,errors,false_positives,false_negatives,fp_rate_when_tested,group_size
target100__大电池短路数据__normal_3,normal 3.xlsx,0,0,target_b0::normal_3,9,7,7,0,0.7777777777777778,2
target100__大电池短路数据__normal_10,normal 10.xlsx,0,0,target_b0::normal_10,4,4,4,0,1.0,2
target100__大电池短路数据__normal_6_difficult,normal 6 difficult.xlsx,0,1,target_b0::normal_6,4,4,4,0,1.0,2
target100__大电池短路数据__normal_2,normal 2.xlsx,0,0,target_b0::normal_2,5,2,2,0,0.4,2
target100__大电池短路数据__normal_4,normal 4.xlsx,0,0,target_b0::normal_4,11,2,2,0,0.18181818181818182,2
target100__大电池短路数据__normal_11_difficult,normal 11 difficult.xlsx,0,1,target_b0::normal_11,7,1,1,0,0.14285714285714285,2
target100__大电池短路数据__normal_14,normal 14.xlsx,0,0,target_b0::normal_14,2,1,1,0,0.5,2
target100__大电池短路数据__normal_1_difficult,normal 1 difficult.xlsx,0,1,target_b0::normal_1,4,1,1,0,0.25,2
target100__大电池短路数据__normal_2_difficult,normal 2 difficult.xlsx,0,1,target_b0::normal_2,5,1,1,0,0.2,2
target100__大电池短路数据__0.1Ω_9,0.1Ω 9.xlsx,1,0,target_b1::0.1ω9,6,6,0,6,,1
target100__大电池短路数据__10Ω_4_difficult,10Ω 4 difficult.xlsx,1,0,target_b1::10ω4,7,6,0,6,,2
target100__大电池短路数据__1Ω_4,1Ω 4.xlsx,1,0,target_b1::1ω4,5,2,0,2,,2
target100__大电池短路数据__1Ω_8,1Ω 8.xlsx,1,0,target_b1::1ω8,9,2,0,2,,2
target100__大电池短路数据__0.1Ω_1,0.1Ω 1.xlsx,1,0,target_b1::0.1ω1,5,1,0,1,,2
target100__大电池短路数据__0.1Ω_2,0.1Ω 2.xlsx,1,0,target_b1::0.1ω2,2,1,0,1,,2
target100__大电池短路数据__10Ω_1,10Ω 1.xlsx,1,0,target_b1::10ω1,4,1,0,1,,2
target100__大电池短路数据__10Ω_4,10Ω 4.xlsx,1,0,target_b1::10ω4,7,1,0,1,,2
target100__大电池短路数据__1Ω_9,1Ω 9.xlsx,1,0,target_b1::1ω9,9,1,0,1,,1
target100__大电池短路数据__0.01ohmcc1,0.01ohmcc1.xlsx,1,0,target_b1::0.01ohmcc1,4,0,0,0,,1
target100__大电池短路数据__0.01ohmcc10,0.01ohmcc10.xlsx,1,0,target_b1::0.01ohmcc10,1,0,0,0,,1
target100__大电池短路数据__0.01ohmcc3,0.01ohmcc3.xlsx,1,0,target_b1::0.01ohmcc3,2,0,0,0,,1
target100__大电池短路数据__0.01ohmcc4,0.01ohmcc4.xlsx,1,0,target_b1::0.01ohmcc4,3,0,0,0,,1
target100__大电池短路数据__0.01ohmcc6,0.01ohmcc6.xlsx,1,0,target_b1::0.01ohmcc6,3,0,0,0,,1
target100__大电池短路数据__0.01ohmcc7,0.01ohmcc7.xlsx,1,0,target_b1::0.01ohmcc7,4,0,0,0,,1
target100__大电池短路数据__0.01ohmcc8,0.01ohmcc8.xlsx,1,0,target_b1::0.01ohmcc8,3,0,0,0,,1
target100__大电池短路数据__0.01ohmcc9,0.01ohmcc9.xlsx,1,0,target_b1::0.01ohmcc9,4,0,0,0,,1
target100__大电池短路数据__0.01Ω_1,0.01Ω 1.xlsx,1,0,target_b1::0.01ω1,30,0,0,0,,2
target100__大电池短路数据__0.01Ω_1_difficult,0.01Ω 1 difficult.xlsx,1,0,target_b1::0.01ω1,30,0,0,0,,2
target100__大电池短路数据__0.01Ω_4,0.01Ω 4.xlsx,1,0,target_b1::0.01ω4,3,0,0,0,,1
target100__大电池短路数据__0.01Ω_5,0.01Ω 5.xlsx,1,0,target_b1::0.01ω5,3,0,0,0,,1
target100__大电池短路数据__0.1ohm_cc_1,0.1ohm cc 1.xlsx,1,0,target_b1::0.1ohmcc1,6,0,0,0,,1
target100__大电池短路数据__0.1ohm_cc_10,0.1ohm cc 10.xlsx,1,0,target_b1::0.1ohmcc10,6,0,0,0,,1
target100__大电池短路数据__0.1ohm_cc_2,0.1ohm cc 2.xlsx,1,0,target_b1::0.1ohmcc2,6,0,0,0,,1
target100__大电池短路数据__0.1ohm_cc_3,0.1ohm cc 3.xlsx,1,0,target_b1::0.1ohmcc3,7,0,0,0,,1
target100__大电池短路数据__0.1ohm_cc_4,0.1ohm cc 4.xlsx,1,0,target_b1::0.1ohmcc4,6,0,0,0,,1
target100__大电池短路数据__0.1ohm_cc_5,0.1ohm cc 5.xlsx,1,0,target_b1::0.1ohmcc5,7,0,0,0,,1
target100__大电池短路数据__0.1ohm_cc_6,0.1ohm cc 6.xlsx,1,0,target_b1::0.1ohmcc6,6,0,0,0,,1
target100__大电池短路数据__0.1ohm_cc_7,0.1ohm cc 7.xlsx,1,0,target_b1::0.1ohmcc7,5,0,0,0,,1
target100__大电池短路数据__0.1ohm_cc_8,0.1ohm cc 8.xlsx,1,0,target_b1::0.1ohmcc8,4,0,0,0,,1
target100__大电池短路数据__0.1ohm_cc_9,0.1ohm cc 9.xlsx,1,0,target_b1::0.1ohmcc9,6,0,0,0,,1
target100__大电池短路数据__0.1Ω_0soc_cc,0.1Ω 0soc cc.xlsx,1,0,target_b1::0.1ω0soccc,8,0,0,0,,1
target100__大电池短路数据__0.1Ω_10,0.1Ω 10.xlsx,1,0,target_b1::0.1ω10,6,0,0,0,,1
target100__大电池短路数据__0.1Ω_1_cc,0.1Ω 1 cc.xlsx,1,0,target_b1::0.1ω1cc,7,0,0,0,,1
target100__大电池短路数据__0.1Ω_1_difficult,0.1Ω 1 difficult.xlsx,1,0,target_b1::0.1ω1,5,0,0,0,,2
