duplicate_group,binary,group_size,test_appearances,errors,false_positives,false_negatives,files,fp_rate_when_tested
target_b0::normal_3,0,2,18,7,7,0,normal 3 difficult.xlsx; normal 3.xlsx,0.3888888888888889
target_b0::normal_10,0,2,8,4,4,0,normal 10 difficult.xlsx; normal 10.xlsx,0.5
target_b0::normal_6,0,2,8,4,4,0,normal 6 difficult.xlsx; normal 6.xlsx,0.5
target_b0::normal_2,0,2,10,3,3,0,normal 2 difficult.xlsx; normal 2.xlsx,0.3
target_b0::normal_4,0,2,22,2,2,0,normal 4 difficult.xlsx; normal 4.xlsx,0.09090909090909091
target_b0::normal_1,0,2,8,1,1,0,normal 1 difficult.xlsx; normal 1.xlsx,0.125
target_b0::normal_11,0,2,14,1,1,0,normal 11 difficult.xlsx; normal 11.xlsx,0.07142857142857142
target_b0::normal_14,0,2,4,1,1,0,normal 14 difficult.xlsx; normal 14.xlsx,0.25
target_b1::10ω4,1,2,14,7,0,7,10Ω 4 difficult.xlsx; 10Ω 4.xlsx,
target_b1::0.1ω9,1,1,6,6,0,6,0.1Ω 9.xlsx,
target_b1::1ω4,1,2,10,2,0,2,1Ω 4 difficult.xlsx; 1Ω 4.xlsx,
target_b1::1ω8,1,2,18,2,0,2,1Ω 8 difficult.xlsx; 1Ω 8.xlsx,
target_b1::0.1ω1,1,2,10,1,0,1,0.1Ω 1 difficult.xlsx; 0.1Ω 1.xlsx,
target_b1::0.1ω2,1,2,4,1,0,1,0.1Ω 2 difficult.xlsx; 0.1Ω 2.xlsx,
target_b1::10ω1,1,2,8,1,0,1,10Ω 1 difficult.xlsx; 10Ω 1.xlsx,
target_b1::1ω9,1,1,9,1,0,1,1Ω 9.xlsx,
target_b0::normal_12,0,2,14,0,0,0,normal 12 difficult.xlsx; normal 12.xlsx,0.0
target_b0::normal_13,0,2,12,0,0,0,normal 13 difficult.xlsx; normal 13.xlsx,0.0
target_b0::normal_15,0,2,10,0,0,0,normal 15 difficult.xlsx; normal 15.xlsx,0.0
target_b0::normal_16,0,1,7,0,0,0,normal 16.xlsx,0.0
target_b0::normal_5,0,2,6,0,0,0,normal 5 difficult.xlsx; normal 5.xlsx,0.0
target_b0::normal_7,0,2,8,0,0,0,normal 7 difficult.xlsx; normal 7.xlsx,0.0
target_b0::normal_8,0,2,10,0,0,0,normal 8 difficult.xlsx; normal 8.xlsx,0.0
target_b0::normal_9,0,2,14,0,0,0,normal 9 difficult.xlsx; normal 9.xlsx,0.0
target_b1::0.01ohmcc1,1,1,4,0,0,0,0.01ohmcc1.xlsx,
target_b1::0.01ohmcc10,1,1,1,0,0,0,0.01ohmcc10.xlsx,
target_b1::0.01ohmcc3,1,1,2,0,0,0,0.01ohmcc3.xlsx,
target_b1::0.01ohmcc4,1,1,3,0,0,0,0.01ohmcc4.xlsx,
target_b1::0.01ohmcc6,1,1,3,0,0,0,0.01ohmcc6.xlsx,
target_b1::0.01ohmcc7,1,1,4,0,0,0,0.01ohmcc7.xlsx,
target_b1::0.01ohmcc8,1,1,3,0,0,0,0.01ohmcc8.xlsx,
target_b1::0.01ohmcc9,1,1,4,0,0,0,0.01ohmcc9.xlsx,
target_b1::0.01ω1,1,2,60,0,0,0,0.01Ω 1 difficult.xlsx; 0.01Ω 1.xlsx,
target_b1::0.01ω4,1,1,3,0,0,0,0.01Ω 4.xlsx,
target_b1::0.01ω5,1,1,3,0,0,0,0.01Ω 5.xlsx,
target_b1::0.1ohmcc1,1,1,6,0,0,0,0.1ohm cc 1.xlsx,
target_b1::0.1ohmcc10,1,1,6,0,0,0,0.1ohm cc 10.xlsx,
target_b1::0.1ohmcc2,1,1,6,0,0,0,0.1ohm cc 2.xlsx,
target_b1::0.1ohmcc3,1,1,7,0,0,0,0.1ohm cc 3.xlsx,
target_b1::0.1ohmcc4,1,1,6,0,0,0,0.1ohm cc 4.xlsx,
target_b1::0.1ohmcc5,1,1,7,0,0,0,0.1ohm cc 5.xlsx,
target_b1::0.1ohmcc6,1,1,6,0,0,0,0.1ohm cc 6.xlsx,
target_b1::0.1ohmcc7,1,1,5,0,0,0,0.1ohm cc 7.xlsx,
target_b1::0.1ohmcc8,1,1,4,0,0,0,0.1ohm cc 8.xlsx,
target_b1::0.1ohmcc9,1,1,6,0,0,0,0.1ohm cc 9.xlsx,
target_b1::0.1ω0soccc,1,1,8,0,0,0,0.1Ω 0soc cc.xlsx,
target_b1::0.1ω10,1,1,6,0,0,0,0.1Ω 10.xlsx,
target_b1::0.1ω1cc,1,1,7,0,0,0,0.1Ω 1 cc.xlsx,
target_b1::0.1ω2cc,1,1,1,0,0,0,0.1Ω 2 cc.xlsx,
target_b1::0.1ω3,1,2,18,0,0,0,0.1Ω 3 difficult.xlsx; 0.1Ω 3.xlsx,
target_b1::0.1ω3cc,1,1,6,0,0,0,0.1Ω 3 cc.xlsx,
target_b1::0.1ω4,1,2,10,0,0,0,0.1Ω 4 difficult.xlsx; 0.1Ω 4.xlsx,
target_b1::0.1ω4cc,1,1,5,0,0,0,0.1Ω 4 cc.xlsx,
target_b1::0.1ω5,1,2,12,0,0,0,0.1Ω 5 difficult.xlsx; 0.1Ω 5.xlsx,
target_b1::0.1ω5cc,1,1,5,0,0,0,0.1Ω 5 cc.xlsx,
target_b1::0.1ω6,1,1,7,0,0,0,0.1Ω 6.xlsx,
target_b1::0.1ω6cc,1,1,5,0,0,0,0.1Ω 6 cc.xlsx,
target_b1::0.1ω7,1,1,10,0,0,0,0.1Ω 7.xlsx,
target_b1::0.1ω7cc,1,1,5,0,0,0,0.1Ω 7 cc.xlsx,
target_b1::0.1ω8,1,1,10,0,0,0,0.1Ω 8.xlsx,
target_b1::0.1ω8cc,1,1,7,0,0,0,0.1Ω 8 cc.xlsx,
target_b1::0.1ω9cc,1,1,6,0,0,0,0.1Ω 9 cc.xlsx,
target_b1::10ohmcc1,1,1,7,0,0,0,10ohm cc 1.xlsx,
target_b1::10ohmcc10,1,1,6,0,0,0,10ohm cc 10.xlsx,
target_b1::10ohmcc2,1,1,6,0,0,0,10ohm cc 2.xlsx,
target_b1::10ohmcc3,1,1,12,0,0,0,10ohm cc 3.xlsx,
target_b1::10ohmcc4,1,1,1,0,0,0,10ohm cc 4.xlsx,
target_b1::10ohmcc5,1,1,4,0,0,0,10ohm cc 5.xlsx,
target_b1::10ohmcc6,1,1,5,0,0,0,10ohm cc 6.xlsx,
target_b1::10ohmcc7,1,1,8,0,0,0,10ohm cc 7.xlsx,
target_b1::10ohmcc8,1,1,6,0,0,0,10ohm cc 8.xlsx,
target_b1::10ohmcc9,1,1,5,0,0,0,10ohm cc 9.xlsx,
target_b1::10ω1cc,1,1,6,0,0,0,10Ω 1 cc.xlsx,
target_b1::10ω2,1,2,6,0,0,0,10Ω 2 difficult.xlsx; 10Ω 2.xlsx,
target_b1::10ω3,1,2,34,0,0,0,10Ω 3 difficult.xlsx; 10Ω 3.xlsx,
target_b1::10ω5,1,1,6,0,0,0,10Ω 5.xlsx,
target_b1::10ω6,1,1,5,0,0,0,10Ω 6.xlsx,
target_b1::10ω7,1,1,2,0,0,0,10Ω 7.xlsx,
target_b1::10ω8,1,1,7,0,0,0,10Ω 8.xlsx,
target_b1::10ω9,1,1,3,0,0,0,10Ω 9.xlsx,
target_b1::1ohmcc1,1,1,7,0,0,0,1ohmcc1.xlsx,
target_b1::1ohmcc10,1,1,4,0,0,0,1ohmcc10.xlsx,
target_b1::1ohmcc2,1,1,3,0,0,0,1ohmcc2.xlsx,
target_b1::1ohmcc3,1,1,7,0,0,0,1ohmcc3.xlsx,
target_b1::1ohmcc4,1,1,8,0,0,0,1ohmcc4.xlsx,
target_b1::1ohmcc5,1,1,4,0,0,0,1ohmcc5.xlsx,
target_b1::1ohmcc6,1,1,10,0,0,0,1ohmcc6.xlsx,
target_b1::1ohmcc7,1,1,4,0,0,0,1ohmcc7.xlsx,
target_b1::1ohmcc8,1,1,8,0,0,0,1ohmcc8.xlsx,
target_b1::1ohmcc9,1,1,3,0,0,0,1ohmcc9.xlsx,
target_b1::1ω1,1,2,10,0,0,0,1Ω 1 difficult.xlsx; 1Ω 1.xlsx,
target_b1::1ω10,1,1,6,0,0,0,1Ω 10.xlsx,
target_b1::1ω1cc,1,1,6,0,0,0,1Ω 1 cc.xlsx,
target_b1::1ω2,1,2,12,0,0,0,1Ω 2 difficult.xlsx; 1Ω 2.xlsx,
target_b1::1ω3,1,2,14,0,0,0,1Ω 3 difficult.xlsx; 1Ω 3.xlsx,
target_b1::1ω5,1,2,6,0,0,0,1Ω 5 difficult.xlsx; 1Ω 5.xlsx,
target_b1::1ω6,1,2,6,0,0,0,1Ω 6 difficult.xlsx; 1Ω 6.xlsx,
target_b1::1ω7,1,2,6,0,0,0,1Ω 7 difficult.xlsx; 1Ω 7.xlsx,
