seed,variant,alpha,mode,margin
0,conformal_alpha0.20,0.2,conformal,0.0
0,q90_alpha0.20,0.2,q90,0.0
0,max_alpha0.20,0.2,max,0.0
0,conformal_alpha0.15,0.15,conformal,0.0
0,q90_alpha0.15,0.15,q90,0.0
0,max_alpha0.15,0.15,max,0.0
0,conformal_alpha0.10,0.1,conformal,0.0
0,q90_alpha0.10,0.1,q90,0.0
0,max_alpha0.10,0.1,max,0.0
0,conformal_alpha0.05,0.05,conformal,0.0
0,q90_alpha0.05,0.05,q90,0.0
0,max_alpha0.05,0.05,max,0.0
4,conformal_alpha0.20,0.2,conformal,0.0
4,q90_alpha0.20,0.2,q90,0.0
4,max_alpha0.20,0.2,max,0.0
4,conformal_alpha0.15,0.15,conformal,0.0
4,q90_alpha0.15,0.15,q90,0.0
4,max_alpha0.15,0.15,max,0.0
4,conformal_alpha0.10,0.1,conformal,0.0
4,q90_alpha0.10,0.1,q90,0.0
4,max_alpha0.10,0.1,max,0.0
4,conformal_alpha0.05,0.05,conformal,0.0
4,q90_alpha0.05,0.05,q90,0.0
4,max_alpha0.05,0.05,max,0.0
7,conformal_alpha0.20,0.2,conformal,0.0
7,q90_alpha0.20,0.2,q90,0.0
7,max_alpha0.20,0.2,max,0.0
7,conformal_alpha0.15,0.15,conformal,0.0
7,q90_alpha0.15,0.15,q90,0.0
7,max_alpha0.15,0.15,max,0.0
7,conformal_alpha0.10,0.1,conformal,0.0
7,q90_alpha0.10,0.1,q90,0.0
7,max_alpha0.10,0.1,max,0.0
7,conformal_alpha0.05,0.05,conformal,0.0
7,q90_alpha0.05,0.05,q90,0.0
7,max_alpha0.05,0.05,max,0.0
20,conformal_alpha0.20,0.2,conformal,0.0
20,q90_alpha0.20,0.2,q90,0.0
20,max_alpha0.20,0.2,max,0.0
20,conformal_alpha0.15,0.15,conformal,0.0
20,q90_alpha0.15,0.15,q90,0.0
20,max_alpha0.15,0.15,max,0.0
20,conformal_alpha0.10,0.1,conformal,0.0
20,q90_alpha0.10,0.1,q90,0.0
20,max_alpha0.10,0.1,max,0.0
20,conformal_alpha0.05,0.05,conformal,0.0
20,q90_alpha0.05,0.05,q90,0.0
20,max_alpha0.05,0.05,max,0.0
33,conformal_alpha0.20,0.2,conformal,0.0
33,q90_alpha0.20,0.2,q90,0.0
33,max_alpha0.20,0.2,max,0.0
33,conformal_alpha0.15,0.15,conformal,0.0
33,q90_alpha0.15,0.15,q90,0.0
