accuracy,precision,recall,specificity,f1,hard_negative_fpr,fp,fn,median_delay_s,p95_delay_s,seed,variant,margin
1.0,1.0,1.0,1.0,1.0,0.0,0,0,52.55,240.0,0,conformal_alpha0.20,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,52.55,240.0,0,q90_alpha0.20,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,52.55,240.0,0,max_alpha0.20,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,52.55,240.0,0,conformal_alpha0.15,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,52.55,240.0,0,q90_alpha0.15,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,52.55,240.0,0,max_alpha0.15,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,52.55,240.0,0,conformal_alpha0.10,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,52.55,240.0,0,q90_alpha0.10,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,52.55,240.0,0,max_alpha0.10,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,52.55,240.0,0,conformal_alpha0.05,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,52.55,240.0,0,q90_alpha0.05,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,52.55,240.0,0,max_alpha0.05,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,conformal_alpha0.20,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q90_alpha0.20,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,max_alpha0.20,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,conformal_alpha0.15,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q90_alpha0.15,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,max_alpha0.15,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,conformal_alpha0.10,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q90_alpha0.10,0.0
