seed,variant,alpha,mode,base_margin,adder,margin
0,q90_alpha0.20_add0.000,0.2,q90,0.0,0.0,0.0
0,q90_alpha0.20_add0.005,0.2,q90,0.0,0.005,0.005
0,q90_alpha0.20_add0.010,0.2,q90,0.0,0.01,0.01
0,q90_alpha0.20_add0.020,0.2,q90,0.0,0.02,0.02
0,q90_alpha0.20_add0.030,0.2,q90,0.0,0.03,0.03
0,q90_alpha0.20_add0.050,0.2,q90,0.0,0.05,0.05
0,q90_alpha0.20_add0.080,0.2,q90,0.0,0.08,0.08
0,q95_alpha0.20_add0.000,0.2,q95,0.0,0.0,0.0
0,q95_alpha0.20_add0.005,0.2,q95,0.0,0.005,0.005
0,q95_alpha0.20_add0.010,0.2,q95,0.0,0.01,0.01
0,q95_alpha0.20_add0.020,0.2,q95,0.0,0.02,0.02
0,q95_alpha0.20_add0.030,0.2,q95,0.0,0.03,0.03
0,q95_alpha0.20_add0.050,0.2,q95,0.0,0.05,0.05
0,q95_alpha0.20_add0.080,0.2,q95,0.0,0.08,0.08
0,conformal_alpha0.20_add0.000,0.2,conformal,0.0,0.0,0.0
0,conformal_alpha0.20_add0.005,0.2,conformal,0.0,0.005,0.005
0,conformal_alpha0.20_add0.010,0.2,conformal,0.0,0.01,0.01
0,conformal_alpha0.20_add0.020,0.2,conformal,0.0,0.02,0.02
0,conformal_alpha0.20_add0.030,0.2,conformal,0.0,0.03,0.03
0,conformal_alpha0.20_add0.050,0.2,conformal,0.0,0.05,0.05
0,conformal_alpha0.20_add0.080,0.2,conformal,0.0,0.08,0.08
0,max_alpha0.20_add0.000,0.2,max,0.0,0.0,0.0
0,max_alpha0.20_add0.005,0.2,max,0.0,0.005,0.005
0,max_alpha0.20_add0.010,0.2,max,0.0,0.01,0.01
0,max_alpha0.20_add0.020,0.2,max,0.0,0.02,0.02
0,max_alpha0.20_add0.030,0.2,max,0.0,0.03,0.03
0,max_alpha0.20_add0.050,0.2,max,0.0,0.05,0.05
0,max_alpha0.20_add0.080,0.2,max,0.0,0.08,0.08
0,q90_alpha0.10_add0.000,0.1,q90,0.0,0.0,0.0
0,q90_alpha0.10_add0.005,0.1,q90,0.0,0.005,0.005
0,q90_alpha0.10_add0.010,0.1,q90,0.0,0.01,0.01
0,q90_alpha0.10_add0.020,0.1,q90,0.0,0.02,0.02
0,q90_alpha0.10_add0.030,0.1,q90,0.0,0.03,0.03
0,q90_alpha0.10_add0.050,0.1,q90,0.0,0.05,0.05
0,q90_alpha0.10_add0.080,0.1,q90,0.0,0.08,0.08
0,q95_alpha0.10_add0.000,0.1,q95,0.0,0.0,0.0
0,q95_alpha0.10_add0.005,0.1,q95,0.0,0.005,0.005
0,q95_alpha0.10_add0.010,0.1,q95,0.0,0.01,0.01
0,q95_alpha0.10_add0.020,0.1,q95,0.0,0.02,0.02
0,q95_alpha0.10_add0.030,0.1,q95,0.0,0.03,0.03
0,q95_alpha0.10_add0.050,0.1,q95,0.0,0.05,0.05
0,q95_alpha0.10_add0.080,0.1,q95,0.0,0.08,0.08
0,conformal_alpha0.10_add0.000,0.1,conformal,0.0,0.0,0.0
0,conformal_alpha0.10_add0.005,0.1,conformal,0.0,0.005,0.005
0,conformal_alpha0.10_add0.010,0.1,conformal,0.0,0.01,0.01
0,conformal_alpha0.10_add0.020,0.1,conformal,0.0,0.02,0.02
0,conformal_alpha0.10_add0.030,0.1,conformal,0.0,0.03,0.03
0,conformal_alpha0.10_add0.050,0.1,conformal,0.0,0.05,0.05
0,conformal_alpha0.10_add0.080,0.1,conformal,0.0,0.08,0.08
0,max_alpha0.10_add0.000,0.1,max,0.0,0.0,0.0
0,max_alpha0.10_add0.005,0.1,max,0.0,0.005,0.005
0,max_alpha0.10_add0.010,0.1,max,0.0,0.01,0.01
0,max_alpha0.10_add0.020,0.1,max,0.0,0.02,0.02
0,max_alpha0.10_add0.030,0.1,max,0.0,0.03,0.03
0,max_alpha0.10_add0.050,0.1,max,0.0,0.05,0.05
0,max_alpha0.10_add0.080,0.1,max,0.0,0.08,0.08
0,q90_alpha0.05_add0.000,0.05,q90,0.0,0.0,0.0
0,q90_alpha0.05_add0.005,0.05,q90,0.0,0.005,0.005
0,q90_alpha0.05_add0.010,0.05,q90,0.0,0.01,0.01
0,q90_alpha0.05_add0.020,0.05,q90,0.0,0.02,0.02
