seed,normal_floor,threshold_50s,threshold_75s,threshold_100s,threshold_150s,val_accuracy,val_precision,val_recall,val_specificity,val_f1,val_hard_negative_fpr,val_fp,val_fn,val_median_delay_s,val_p95_delay_s
0,0.68,0.8,0.52,0.72,0.58,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,40.13
4,0.68,0.92,0.8,0.86,0.58,0.875,0.8947368421052632,0.9444444444444444,0.6666666666666666,0.918918918918919,0.0,2,1,65.0,79.99999999999994
7,0.68,0.8,0.8,0.86,0.72,0.875,0.8947368421052632,0.9444444444444444,0.6666666666666666,0.918918918918919,0.3333333333333333,2,1,40.0,60.07999999999993
20,0.68,0.66,0.8,0.58,0.58,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,50.07999999999997
33,0.68,0.66,0.8,0.86,0.86,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,60.239999999999924
55,0.68,0.8,0.66,0.72,0.72,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,50.07999999999997
69,0.68,0.92,0.66,0.72,0.58,1.0,1.0,1.0,1.0,1.0,0.0,0,0,65.0,140.0
72,0.68,0.66,0.8,0.72,0.58,0.9166666666666666,0.9,1.0,0.6666666666666666,0.9473684210526316,0.3333333333333333,2,0,40.0,47.58499999999993
73,0.68,0.8,0.92,0.86,0.86,1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,52.51499999999994
88,0.68,0.8,0.92,0.94,0.94,0.9565217391304348,1.0,0.9411764705882353,1.0,0.9696969696969697,0.0,0,1,40.0,40.125
