model,seed,threshold,accuracy,specificity,recall,precision,f1,fp,fn
pfx600_et_sw0.0,0,0.5999999999999999,0.9230769230769231,0.8333333333333334,0.95,0.95,0.95,1,1
pfx600_et_sw0.0,4,0.3,0.8846153846153846,0.4,1.0,0.875,0.9333333333333333,3,0
pfx600_et_sw0.0,7,0.20692766804804538,0.9629629629629629,0.8333333333333334,1.0,0.9545454545454546,0.9767441860465116,1,0
pfx600_et_sw0.0,20,0.43999999999999995,1.0,1.0,1.0,1.0,1.0,0,0
pfx600_et_sw0.0,33,0.22614070656894827,0.8571428571428571,0.5,0.9545454545454546,0.875,0.9130434782608695,3,1
pfx600_et_sw0.0,55,0.73,0.8461538461538461,0.8333333333333334,0.85,0.9444444444444444,0.8947368421052632,1,3
pfx600_et_sw0.0,69,0.24113923081302094,0.9259259259259259,0.8333333333333334,0.9523809523809523,0.9523809523809523,0.9523809523809523,1,1
pfx600_et_sw0.0,72,0.48,0.96,1.0,0.9473684210526315,1.0,0.972972972972973,0,1
pfx600_et_sw0.0,73,0.3,0.9230769230769231,0.6666666666666666,1.0,0.9090909090909091,0.9523809523809523,2,0
pfx600_et_sw0.0,88,0.28768191971680357,0.8888888888888888,0.4,1.0,0.88,0.9361702127659575,3,0
pfx600_et_sw0.0,91,0.69,0.875,0.8,0.8947368421052632,0.9444444444444444,0.918918918918919,1,2
pfx600_et_sw0.0,97,0.3,0.9629629629629629,0.8333333333333334,1.0,0.9545454545454546,0.9767441860465116,1,0
pfx600_et_sw0.0,102,0.5599999999999999,0.8148148148148148,0.6,0.8636363636363636,0.9047619047619048,0.8837209302325582,2,3
pfx600_et_sw0.0,110,0.49999999999999994,0.9230769230769231,1.0,0.9,1.0,0.9473684210526315,0,2
pfx600_et_sw0.0,113,0.47,0.9615384615384616,1.0,0.95,1.0,0.9743589743589743,0,1
pfx600_et_sw0.0,114,0.49,0.9642857142857143,1.0,0.9545454545454546,1.0,0.9767441860465116,0,1
pfx600_et_sw0.0,119,0.6042959712271598,0.88,1.0,0.8421052631578947,1.0,0.9142857142857143,0,3
pfx600_et_sw0.0,130,0.5399999999999999,0.92,0.8,0.95,0.95,0.95,1,1
