accuracy,precision,recall,specificity,f1,hard_negative_fpr,fp,fn,median_delay_s,p95_delay_s,seed
0.9230769230769231,0.9090909090909091,1.0,0.6666666666666666,0.9523809523809523,0.0,2,0,40.0,41.64000000000002,0
0.9615384615384616,0.9545454545454546,1.0,0.8,0.9767441860465117,0.5,1,0,40.0,40.3,4
0.9629629629629629,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,0,1,40.0,40.205000000000005,7
0.92,0.9473684210526315,0.9473684210526315,0.8333333333333334,0.9473684210526315,0.0,1,1,40.0,43.834999999999965,20
0.8928571428571429,0.9130434782608695,0.9545454545454546,0.6666666666666666,0.9333333333333332,0.3333333333333333,2,1,40.0,40.1,33
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,40.39000000000001,55
0.9259259259259259,0.9523809523809523,0.9523809523809523,0.8333333333333334,0.9523809523809523,0.3333333333333333,1,1,40.0,40.005,69
0.96,0.95,1.0,0.8333333333333334,0.9743589743589743,0.0,1,0,40.0,42.67999999999995,72
0.8846153846153846,0.8695652173913043,1.0,0.5,0.9302325581395349,0.3333333333333333,3,0,40.0,40.1,73
0.8518518518518519,1.0,0.8181818181818182,1.0,0.9,0.0,0,4,40.0,240.0,88
